,Unnamed: 0,address,city,in_stable,latitude,longitude,name,state,uuid,zip,status
87,87,1332 E Tudor St,Covina,0.0,,,National Construction and Remediation,CA,d6b35e8d-29ce-4e4a-8ac0-68b8dfd4aa2e,91722.0,edge
88,88,222 N Sepulveda Blvd,El Segundo,1.0,,,Element Consulting Group,CA,f2e46d83-17a2-46ae-a3de-45c2f0cf754e,90245.0,stable
89,89,11907 Gorham Ave,Los Angeles,1.0,,,Electro Thermal Equipment,CA,00c0c159-1c0f-414c-abf8-190038eefe55,90049.0,stable
90,90,2376 E Pacifica Pl,Compton,1.0,33.848742225547845,{},Allied High Tech,CA,06579c84-08ed-4b03-9422-226d7f5d9841,90220.0,stable
91,91,182 E Jefferson Blvd,Los Angeles,1.0,,,John Harb Sewing Machine Co.,CA,2479b2de-459e-4710-ba1e-01078d2b2bb5,90011.0,stable
92,92,1717 S Hoover St,Los Angeles,1.0,,,Kld Construction,CA,2625448a-f05e-4f38-8f13-2794986993ec,90006.0,stable
93,93,24142 Breton Ct,Valencia,0.0,,,Integrated Tactical Concepts,CA,42a2a870-8a7b-4382-bf9f-8136c1f4461b,91355.0,edge
94,94,5514 Deane Ave,Los Angeles,0.0,,,Hudson Hr Services,CA,522f0c66-9e46-4b5b-ab34-b0ca903eedc4,90043.0,edge
95,95,6383 Arizona Cir,Los Angeles,1.0,,,Courtcall,CA,55c7dc2b-9f42-4668-b458-74c1821957ce,90045.0,stable
96,96,18121 Parthenia St,Northridge,1.0,,,Resonance Technology Company,CA,7b24f57e-89f2-480d-b9ce-e8fc3b96b119,91325.0,stable
97,97,2837 Metropolitan Pl,Pomona,1.0,,,Copp Industrial Manufacturing,CA,84e5e617-2244-46b8-90f3-30afa0cbf231,91767.0,stable
98,98,1330 Mountain View Cir,Azusa,0.0,,,Mid-Atlantic Computer Services,CA,8995a266-0504-4877-9b33-58dcf2fab04d,91702.0,edge
99,99,205 W Avenue L9,Lancaster,1.0,,,Angel Capacitors,CA,d03c10b5-8e05-4743-b37c-0336e4346077,93534.0,stable
100,100,35827 53rd St E,Palmdale,1.0,,,Fortress Fence,CA,d8a31871-7c40-4cae-ba1d-e649dea1002c,93552.0,stable
101,101,12535 McCann Dr,Santa Fe Springs,1.0,,,Tecnara Tooling Systems,CA,0837ce76-05aa-4f8f-9d08-aabc2466620b,90670.0,stable
102,102,9232 Eton Ave,Chatsworth,1.0,,,Iris International,CA,285cefe6-4648-4678-ba18-713831b3b57a,91311.0,stable
103,103,11980 Telegraph Rd,Santa Fe Springs,1.0,,,Crescent Healthcare,CA,2ca39d5e-2b68-48eb-8e09-22d0f68cc6b9,90670.0,stable
104,104,11980 Telegraph Rd,Santa Fe Springs,1.0,,,Crescent Healthcare,CA,2ca39d5e-2b68-48eb-8e09-22d0f68cc6b9,90670.0,stable
105,105,3266 Cherry Ave,Long Beach,1.0,,,SB Office Supplies,CA,3b61ea26-2641-44c7-9074-183bd9f870ca,90807.0,stable
106,106,1020 Chevron Ct,Pasadena,1.0,,,Robin V Brown,CA,41704553-8e5d-43af-abb7-45b03943530d,91103.0,stable
107,107,11301 W Olympic Blvd,Los Angeles,1.0,,,Blue Line Media,CA,45c45f50-f2c2-4788-aa30-2ea2ccdcd302,90064.0,stable
108,108,1720 W Avenue L4,Lancaster,1.0,,,Wire Rite,CA,47e701f5-0ec2-4511-b3d2-a7017b768b5f,93534.0,stable
109,109,2452 Wilshire Blvd,Santa Monica,1.0,,,Kbda,CA,550912bd-e68c-48cb-9808-b9ccc1e737a0,90403.0,stable
110,110,831 N Park View Dr,El Segundo,1.0,,,Phoenix Software International,CA,62cb85bb-d7e0-4966-89e7-c28e8658fcd5,90245.0,stable
111,111,8370 Wilshire Blvd,Beverly Hills,1.0,34.064428405043785,{},Karrass Seminars,CA,7925e7ed-133d-450d-bc69-144a40dcbb79,90211.0,stable
112,112,1707 4th St,Santa Monica,0.0,,,"PCA 1, L P · Doubletree Suites By Hilton S M",CA,b2e86649-f8a9-4ee3-8bc3-f548494840da,90401.0,edge
113,113,12100 Wilshire Blvd,Los Angeles,1.0,,,Neurogen Technologies,CA,e7db3b06-62a5-4bc5-890c-1d2d0c60a00f,90025.0,stable
114,114,921 16th St,Hermosa Beach,1.0,,,Mugenkioku Corporation,CA,f8b02ac1-00f0-4205-a055-6ad27ee5e13f,90254.0,stable
115,115,1711 E 15th St,Los Angeles,1.0,,,Tropical Preserving Co.,CA,144402f5-be99-4a6c-b462-b200c45996bf,90021.0,stable
116,116,1010 E Union St,Pasadena,1.0,,,Avia Source,CA,1f609945-b7c9-426a-aa90-1ca4e974b8a0,91106.0,stable
117,117,2220 Santa Anita Ave,South El Monte,1.0,,,Royal Imaging CA,CA,26797a08-f25b-4b36-84f7-d142364e1071,91733.0,stable
118,118,315 Arden Ave,Glendale,0.0,,,Schwab Engineering,CA,2faf3e3c-346d-4b97-959c-5e10b01c55ef,91203.0,edge
119,119,28887 Industry Dr,Valencia,0.0,,,Aviation Certified Pdts,CA,6688bb96-ae21-4a0e-b6bc-be62f0dc31f6,91355.0,edge
120,120,420 W Park Dr,Palmdale,1.0,,,Bright Stay Palmdale,CA,750a11fb-c42d-4175-9546-92c494876973,93551.0,stable
121,121,29256 Las Brisas Rd,Valencia,1.0,,,Johnston & Company,CA,cb8d8ef5-34cb-4d2d-861c-d98cb7da4b4f,91354.0,stable
122,122,3144 Paraiso Way,La Crescenta,1.0,,,Glenoaks Pathology Medical Group,CA,1ec8831c-3f72-43f7-a228-a9c7c26d14d7,91214.0,stable
